glob_cat,date,plot,bout,rec_ID,file_begin,file_end,bout_loc_begin,bout_loc_end,bout_glob_begin,bout_glob_end,mean_temp,med_freq_cent,med_dom_freq,peak_rate,n_idle,n_noise_30m,t_noise_30m,ent_noise_30m
0,180518,A,0,all,180518_A04_00_wavchunk0_f,180518_A04_00_wavchunk0_f,23.65389583,36.0585625,323.6538958,336.0585625,19.3,2039.560665,386.71875,12.96666585,0,0,0,0
0,180518,A,1,all,180518_A04_00_wavchunk2_f,180518_A04_00_wavchunk2_f,15.02102083,43.85258333,1515.021021,1543.852583,19.2,4637.740377,1359.375,11.40116686,0,0,0,0
0,180518,A,2,all,180518_A04_00_wavchunk32_f,180518_A04_00_wavchunk32_f,130.2368958,131.2493542,19630.2369,19631.24935,18.5,4605.891132,1828.125,8.889254702,0,0,0,0
0,180518,A,3,all,180518_A04_00_wavchunk34_f,180518_A04_00_wavchunk34_f,17.15108333,18.2248125,20717.15108,20718.22481,18.5,4799.471795,1710.9375,8.382164616,0,0,0,0
0,180518,A,4,all,180518_A04_00_wavchunk34_f,180518_A04_00_wavchunk34_f,110.114625,137.1379792,20810.11463,20837.13798,18.5,4008.889213,1664.0625,10.16425804,0,0,0,0
0,180518,A,5,all,180518_A04_00_wavchunk35_f,180518_A04_00_wavchunk35_f,185.9737292,422.7802292,21485.97373,21722.78023,18.5,3031.100503,1453.125,16.29412994,0,0,0,0
0,180518,A,6,all,180518_A04_00_wavchunk37_f,180518_A04_00_wavchunk37_f,88.68602083,89.71904167,22588.68602,22589.71904,18.6,2960.739221,1500,13.55221232,0,0,0,0
0,180518,A,7,all,180518_A04_00_wavchunk37_f,180518_A04_00_wavchunk38_f,4.387666667,544.98225,22653.7861,23122.3976,18.6,2753.809362,1500,17.4863388,0,0,0,0
0,180518,A,8,all,180518_A04_00_wavchunk38_f,180518_A04_00_wavchunk38_f,527.9013958,540.662125,23627.9014,23640.66213,18.6,2410.503193,1570.3125,11.97670327,0,0,0,0
0,180518,A,9,all,180518_A04_00_wavchunk49_f,180518_A04_00_wavchunk49_f,246.4111667,249.5139583,29946.41117,29949.51396,18.9,4328.979516,1500,10.95794753,0,3,1,0
0,180518,A,10,all,180518_A26_080_wavchunk7_f,180518_A26_080_wavchunk7_f,343.6283333,345.4069167,33343.62833,33345.40692,19.3,2080.002797,1453.125,14.05596617,0,9,4,1.214889654
0,180518,A,11,all,180518_A17_080_wavchunk7_f,180518_A43_080_wavchunk6_f,80.102875,573.5777083,33452.05127,33568.70258,19.38571429,3495.940476,1406.25,12.99984069,0,9,4,1.214889654
0,180518,A,12,all,180518_A26_080_wavchunk13_f,180518_A26_080_wavchunk13_f,80.530125,81.61091667,36680.53013,36681.61092,19.9,3945.089694,1429.6875,11.10297236,0,7,2,0.682908105
0,180518,A,13,all,180518_A01_080_wavchunk13_f,180518_A01_080_wavchunk13_f,327.7265,331.2419792,36747.7265,36751.24198,19.9,4670.346898,1406.25,21.9031308,0,8,2,0.693147181
0,180518,A,14,all,180518_A26_080_wavchunk13_f,180518_A26_080_wavchunk13_f,416.3080417,418.36025,37016.30804,37018.36025,19.9,3555.879442,1429.6875,9.25831929,0,8,2,0.661563238
