glob_cat,date,plot,bout,rec_ID,file_begin,file_end,bout_loc_begin,bout_loc_end,bout_glob_begin,bout_glob_end,mean_temp,med_freq_cent,med_dom_freq,peak_rate,n_idle,n_hs_30m,min_diff_hs,n_cs_30m,min_diff_cs
3,180518,A,0.0,10,180518_A10_080_wavchunk27_f,180518_A10_080_wavchunk27_f,143.9072083,152.7280833,44663.90721,44672.72808,21.0,3580.7873670210065,984.375,5.639581499437496,0,0,,0,52491.498960000004
3,180518,A,1.0,10,180518_A10_00_wavchunk35_f,180518_A10_00_wavchunk35_f,337.0204167,339.2370625,106417.0204,106419.2371,17.5,4274.730842887308,1171.875,6.767044493317544,0,0,,0,5866.154799999989
3,180518,A,0.0,3,180518_A03_00_wavchunk20_f,180518_A03_00_wavchunk20_f,75.40616667,78.93820833,97155.40617,97158.93821,18.5,1571.5633019309685,1218.75,5.945569724781465,0,0,,0,3266.4106299999985
3,180518,A,1.0,3,180518_A03_00_wavchunk24_f,180518_A03_00_wavchunk24_f,174.0108958,179.0819583,99654.0109,99659.08196,18.3,1678.7765252319389,515.625,6.507511985900391,0,0,,2,767.8059000000067
3,180518,A,2.0,3,180518_A03_00_wavchunk47_f,180518_A03_00_wavchunk47_f,22.17779167,30.7033125,113302.1778,113310.7033,17.8,2716.6948765421566,1265.625,4.21710908515848,0,0,,0,6885.157400000011
3,180518,A,3.0,3,180518_A03_00_wavchunk50_f,180518_A03_00_wavchunk50_f,232.6474375,239.9365625,115312.6474,115319.9366,18.0,1871.789318106505,1359.375,6.996724572565294,0,0,,0,8895.627000000008
3,180518,A,0.0,26,180518_A26_00_wavchunk24_f,180518_A26_00_wavchunk24_f,221.8168125,281.7436458,100421.8168,100481.7436,18.2,4955.675775873886,1253.90625,9.554855577128931,0,0,,1,767.8059000000067
3,180518,A,1.0,26,180518_A26_00_wavchunk24_f,180518_A26_00_wavchunk24_f,350.865625,355.2312083,100550.8656,100555.2312,18.2,3326.554799081709,1265.625,2.7487866683846582,0,0,,1,896.8547000000108
3,180527,C,0.0,8,180527_C08_08_wavchunk1_f,180527_C08_08_wavchunk1_f,391.307125,449.3604583,27811.30713,27869.36046,34.3,5315.846994041287,2355.46875,9.978425996069308,0,0,,0,20167.67506
3,180527,C,1.0,8,180527_C08_08_wavchunk1_f,180527_C08_08_wavchunk1_f,521.755125,564.0975208,27941.75513,27984.09752,34.3,4902.980369087416,1031.25,7.552057180253366,0,0,,0,20037.22706
3,180527,C,2.0,8,180527_C08_08_wavchunk4_f,180527_C08_08_wavchunk4_f,267.7388958,276.2160625,29487.7389,29496.21606,34.7,3318.27971460374,1089.84375,5.7751315904020295,0,0,,0,18491.243290000002
3,180527,C,3.0,8,180527_C08_08_wavchunk4_f,180527_C08_08_wavchunk4_f,358.740125,360.0409375,29578.74013,29580.04094,34.7,5330.540118235291,1171.875,9.225003603517033,0,0,,0,18400.242060000004
3,180527,C,4.0,8,180527_C08_16_1_wavchunk2_f,180527_C08_16_1_wavchunk2_f,53.38733333,54.79202083,58313.38733,58314.79202,33.9,3972.063621221906,3468.75,7.119021134593993,0,0,,0,2255.715170000003
3,180527,C,5.0,8,180527_C08_16_1_wavchunk50_f,180527_C08_16_1_wavchunk50_f,374.2105,376.7210208,87434.2105,87436.72102,29.8,1741.0501712578643,1171.875,11.94981079466242,0,0,,0,25327.036440000003
