cat_1,cat_2,plot_pi,date_pi,time_pi,freq_pi,all_pi,cat_1_type,cat_2_type
0,1,0.758750409,0.88919959,0.895295668,0.564181224,0.340787223,ac,ac
0,10,0.714518305,0.701585698,0.696457991,0.621749859,0.21707245,ac,ac
0,13,0.454195515,0.647991625,0.530639406,0.483735125,0.075547371,ac,ac
0,18,0.794544982,0.722754274,0.910406316,0.487434068,0.254835719,ac,ac
0,2,0.527819227,0.576199819,0.754823188,0.612084878,0.14051258,ac,vi
0,20,0.477055604,0.709714872,0.87175566,0.180669503,0.053325205,ac,ac
0,26,0.586020517,0.496465624,0.669559226,0.963385078,0.187668299,ac,ac
0,3,0.606171203,0.567982382,0.689571089,0.714695947,0.16967995,ac,vi
0,31,0.935089515,0.853257599,0.76952901,0.637993712,0.391719099,ac,ac
0,33,0.755146668,0.521305325,0.696320187,0.979630773,0.268531277,ac,ac
0,35,0.296879356,0.562289182,0.800846353,0.212709631,0.028436496,ac,ac
0,39,0.731208638,0.261204999,0.226127712,0.240955509,0.01040671,ac,ac
0,4,0.815020106,0.738570643,0.649717996,0.436391155,0.170671576,ac,vi
0,45,0.343517924,0.534809594,0.581933403,0.772875921,0.08262884,ac,vi
0,5,0.334819722,0.48854056,0.348620145,0.569427359,0.032471509,ac,vi
0,6,0.814816998,0.888831215,0.925488027,0.479006799,0.321064184,ac,ac
0,7,0.603504427,0.642150452,0.847360294,0.331375517,0.108819263,ac,ac
0,9,0.813869648,0.562463048,0.87035777,0.515782363,0.205500625,ac,vi
1,10,0.755376294,0.475063888,0.480676232,0.635339721,0.109590782,ac,ac
1,13,0.549067723,0.744423763,0.476592437,0.51022321,0.099392474,ac,ac
1,18,0.315486694,0.604639652,0.86896732,0.686456114,0.113787326,ac,ac
1,2,0.587776578,0.355368511,0.708655813,0.54883178,0.081239235,ac,vi
1,20,0.881683479,0.746096574,0.915071422,0.430217438,0.258970772,ac,ac
1,26,0.733308448,0.580352325,0.473881766,0.601027061,0.121211114,ac,ac
1,3,0.775716579,0.523355082,0.502103827,0.540769917,0.110231464,ac,vi
1,31,0.72030012,0.856681358,0.859789642,0.550498748,0.292066232,ac,ac
1,33,0.69186383,0.649088161,0.77990779,0.607944746,0.212927465,ac,ac
1,35,0.735767496,0.586013937,0.820688564,0.429650921,0.152034683,ac,ac
1,39,0.69864925,0.266799544,0.044039731,0.662004474,0.005434378,ac,ac
1,4,0.868634801,0.807144723,0.417428889,0.521340628,0.152578278,ac,vi
1,45,0.560691666,0.311088884,0.420173835,0.553998522,0.040601886,ac,vi
1,5,0.732677312,0.488278195,0.163329242,0.457949535,0.026758492,ac,vi
1,6,0.960629006,0.807715428,0.91013681,0.667446652,0.471343273,ac,ac
1,7,0.807241799,0.512467083,0.908388786,0.477064587,0.179274517,ac,ac
1,9,0.838017423,0.629573068,0.811082433,0.450467347,0.192764697,ac,vi
10,13,0.206548354,0.247661764,0.390602725,0.800064165,0.015986036,ac,ac
10,18,0.361107347,0.645456424,0.535726491,0.607932825,0.07591052,ac,ac
10,2,0.33206371,0.809551376,0.685197854,0.923844989,0.170169191,ac,vi
10,20,0.731116538,0.286556015,0.507598637,0.435881663,0.046353783,ac,ac
10,26,0.439847226,0.393769526,0.785596613,0.746961409,0.101634634,ac,ac
10,3,0.797236727,0.198302194,0.848066474,0.835004534,0.111952435,ac,vi
10,31,0.510244577,0.396169495,0.526328175,0.899995321,0.095753862,ac,ac
10,33,0.476675664,0.158398177,0.51207447,0.714828377,0.027638093,ac,ac
10,35,0.446454312,0.373225503,0.408417109,0.691171889,0.047036861,ac,ac
10,39,0.777300011,0.029861878,0.773922052,0.64014213,0.011499512,ac,ac
10,4,0.657583653,0.344871613,0.933242312,0.906642468,0.191884076,ac,vi
10,45,0.839589088,0.820811338,0.818054279,0.799107359,0.450502684,ac,vi
10,5,0.7363112,0.141133451,0.809133375,0.773989785,0.065079875,ac,vi
10,6,0.836662645,0.638561051,0.523329633,0.772849567,0.216084243,ac,ac
10,7,0.496718441,0.547190171,0.468021484,0.840235563,0.10688467,ac,ac
10,9,0.87447684,0.470328296,0.784623576,0.774094863,0.249807204,ac,vi
13,18,0,0.49634658,0.333919765,0.373290981,0,ac,ac
13,2,0.966187496,0.04072914,0.683050021,0.829407712,0.022293961,ac,vi
13,20,0.179645961,0.674370384,0.352377842,0.24265955,0.010359098,ac,ac
13,26,0.913185441,0.267958566,0.591240966,0.625828413,0.090541236,ac,ac
13,3,0,0.472726292,0.711130472,0.87260168,0,ac,vi
13,31,0.685478337,0.714068071,0.511678498,0.9016879,0.225832664,ac,ac
13,33,0.03879815,0.345434673,0.297203734,0.623786603,0.002484662,ac,ac
13,35,0,0.486008063,0.127000896,0.480426194,0,ac,ac
13,39,0,0,0.067378848,0.394003886,0,ac,ac
13,4,0.818977081,0.813055144,0.47615409,0.850787332,0.269749274,ac,vi
13,45,0.106093421,0.09018183,0.194796588,0.79960334,0.001490265,ac,vi
13,5,0,0.419639172,0.281138763,0.909192469,0,ac,vi
13,6,0.33534635,0.699422897,0.494166216,0.548985076,0.063630747,ac,ac
13,7,0.907803955,0.593435515,0.329989307,0.608972056,0.108258707,ac,ac
13,9,0.575262985,0.363807869,0.419578829,0.904399218,0.079416778,ac,vi
18,2,0.017144737,0.643629218,0.566786113,0.500755717,0.003131928,ac,vi
18,20,0.126908431,0.440990082,0.881301516,0.68598495,0.033834394,ac,ac
18,26,0.0290597,0.629502266,0.482839183,0.496843284,0.004388442,ac,ac
18,3,0.44923008,0.258041599,0.475923153,0.41321576,0.022796715,ac,vi
18,31,0.71013124,0.646149269,0.760972361,0.477192848,0.166622745,ac,ac
18,33,0.77211896,0.152674224,0.755435359,0.515238374,0.045883385,ac,ac
18,35,0.039906349,0.394126489,0.883365984,0.559409459,0.007772274,ac,ac
18,39,0.678687278,0.027833083,0.034963924,0.763768413,0.000504444,ac,ac
18,4,0.383594373,0.538926864,0.459790389,0.471410524,0.044808584,ac,vi
18,45,0.052806311,0.303105428,0.467514852,0.400872857,0.002999726,ac,vi
18,5,0.067374534,0.179523929,0.130753796,0.337458426,0.000533694,ac,vi
