species,date,time,plot,male
duplex,180518,8,B,1
duplex,180520,8,B,2
duplex,180520,8,D,1
duplex,180522,0,D,3
duplex,180522,16,D,2
duplex,180525,0,B,1
duplex,180525,8,B,1
duplex,180525,16,D,1
duplex,180531,16,B,2
uetzi,180604,0,C,1
duplex,180604,0,F,1
duplex,180604,0,D,1
duplex,180604,8,B,1
duplex,180604,16,F,1
duplex,180607,0,F,1
uetzi,180611,8,E,1
uetzi,180611,16,E,1
uetzi,180614,0,E,1
uetzi,180614,8,E,1
stridulans,180618,0,A,1
uetzi,180624,0,A,1
uetzi,180624,0,C,4
uetzi,180624,0,E,1
uetzi,180624,16,A,1
uetzi,180624,16,C,1
uetzi,180624,16,E,1
stridulans,180624,16,A,1
stridulans,180624,16,C,2
stridulans,180624,16,E,4
uetzi,180629,0,C,1
uetzi,180629,0,D,1
uetzi,180629,0,E,1
uetzi,180629,16,E,3
stridulans,180629,16,C,1
stridulans,180629,16,E,2
stridulans,180629,16,A,2
uetzi,180703,0,C,1
uetzi,180703,8,E,1
uetzi,180703,16,F,2
stridulans,180703,0,E,1
stridulans,180703,16,A,2
stridulans,180703,16,C,1
stridulans,180703,16,E,1
