plot,date,time,temp,rec_time
A,180513,1226,26.6,44760
A,180513,1241,28.9,45660
A,180513,1256,29.4,46560
A,180513,1311,29.8,47460
A,180513,1326,30.3,48360
A,180513,1341,30.5,49260
A,180513,1356,30.7,50160
A,180513,1411,31.0,51060
A,180513,1426,31.7,51960
A,180513,1441,31.2,52860
A,180513,1456,31.5,53760
A,180513,1511,31.8,54660
A,180513,1526,31.8,55560
A,180513,1541,31.8,56460
A,180513,1556,31.9,57360
A,180513,1611,31.7,58260
A,180513,1626,32.0,59160
A,180513,1641,31.9,60060
A,180513,1656,32.0,60960
A,180513,1711,31.8,61860
A,180513,1726,31.7,62760
A,180513,1741,31.6,63660
A,180513,1756,31.4,64560
A,180513,1811,31.3,65460
A,180513,1826,31.2,66360
A,180513,1841,31.1,67260
A,180513,1856,31.2,68160
A,180513,1911,30.9,69060
A,180513,1926,30.7,69960
A,180513,1941,31.1,70860
A,180513,1956,31.0,71760
A,180513,2011,29.5,72660
A,180513,2026,28.7,73560
A,180513,2041,27.9,74460
A,180513,2056,26.7,75360
A,180513,2111,25.9,76260
A,180513,2126,25.2,77160
A,180513,2141,24.4,78060
A,180513,2156,23.7,78960
A,180513,2211,23.2,79860
A,180513,2226,22.7,80760
A,180513,2241,22.3,81660
A,180513,2256,21.9,82560
A,180513,2311,21.6,83460
A,180513,2326,21.4,84360
A,180513,2341,21.3,85260
A,180513,2356,20.8,86160
A,180514,0011,20.5,660
A,180514,0026,20.3,1560
A,180514,0041,20.2,2460
A,180514,0056,20.0,3360
A,180514,0111,19.8,4260
A,180514,0126,19.7,5160
A,180514,0141,19.7,6060
A,180514,0156,19.5,6960
A,180514,0211,19.3,7860
A,180514,0226,19.1,8760
A,180514,0241,18.9,9660
A,180514,0256,18.8,10560
A,180514,0311,18.7,11460
A,180514,0326,18.7,12360
A,180514,0341,18.6,13260
A,180514,0356,18.6,14160
A,180514,0411,18.4,15060
A,180514,0426,18.3,15960
A,180514,0441,18.3,16860
A,180514,0456,18.2,17760
A,180514,0511,18.0,18660
A,180514,0526,18.1,19560
A,180514,0541,18.2,20460
A,180514,0556,18.2,21360
A,180514,0611,18.2,22260
A,180514,0626,18.1,23160
A,180514,0641,18.0,24060
A,180514,0656,17.9,24960
A,180514,0711,17.9,25860
A,180514,0726,17.8,26760
A,180514,0741,17.8,27660
A,180514,0756,17.8,28560
A,180514,0811,17.8,29460
A,180514,0826,17.9,30360
A,180514,0841,18.2,31260
A,180514,0856,18.5,32160
A,180514,0911,19.0,33060
A,180514,0926,19.4,33960
A,180514,0941,20.0,34860
A,180514,0956,20.8,35760
A,180514,1011,21.6,36660
A,180514,1026,22.6,37560
A,180514,1041,24.4,38460
A,180514,1056,25.7,39360
A,180514,1111,25.6,40260
A,180514,1126,26.6,41160
A,180514,1141,27.4,42060
A,180514,1156,27.9,42960
A,180514,1211,28.5,43860
A,180514,1226,28.9,44760
A,180514,1241,29.1,45660
A,180514,1256,29.4,46560
A,180514,1311,30.3,47460
A,180514,1326,30.3,48360
A,180514,1341,30.5,49260
A,180514,1356,31.2,50160
A,180514,1411,31.2,51060
A,180514,1426,31.3,51960
A,180514,1441,31.2,52860
A,180514,1456,31.3,53760
A,180514,1511,31.6,54660
A,180514,1526,32.0,55560
A,180514,1541,32.0,56460
